datapoints	percentage	call	xmin	xmax	xmean	bmin	bmax	bmean
200	37.00	xtal-xtal	-11.78	2.33	-6.62	-2.37	3.18	0.00
200	43.00	bio-bio	-11.78	2.33	-6.62	-2.37	3.18	0.00
200	2.50	xtal-bio	-11.78	2.33	-6.62	-2.37	3.18	0.00
200	17.50	bio-xtal	-11.78	2.33	-6.62	-2.37	3.18	0.00
200	80.00	same	-11.78	2.33	-6.62	-2.37	3.18	0.00
200	20.00	different	-11.78	2.33	-6.62	-2.37	3.18	0.00
400	33.00	xtal-xtal	-18.35	-3.20	-10.23	-2.26	2.92	-0.21
400	54.50	bio-bio	-18.35	-3.20	-10.23	-2.26	2.92	-0.21
400	1.00	xtal-bio	-18.35	-3.20	-10.23	-2.26	2.92	-0.21
400	11.50	bio-xtal	-18.35	-3.20	-10.23	-2.26	2.92	-0.21
400	87.50	same	-18.35	-3.20	-10.23	-2.26	2.92	-0.21
400	12.50	different	-18.35	-3.20	-10.23	-2.26	2.92	-0.21
600	30.00	xtal-xtal	-17.83	-2.62	-7.64	-2.48	2.36	-0.06
600	49.50	bio-bio	-17.83	-2.62	-7.64	-2.48	2.36	-0.06
600	5.50	xtal-bio	-17.83	-2.62	-7.64	-2.48	2.36	-0.06
600	15.00	bio-xtal	-17.83	-2.62	-7.64	-2.48	2.36	-0.06
600	79.50	same	-17.83	-2.62	-7.64	-2.48	2.36	-0.06
600	20.50	different	-17.83	-2.62	-7.64	-2.48	2.36	-0.06
800	36.50	xtal-xtal	-13.62	-2.97	-6.97	-2.55	3.05	0.08
800	48.50	bio-bio	-13.62	-2.97	-6.97	-2.55	3.05	0.08
800	3.00	xtal-bio	-13.62	-2.97	-6.97	-2.55	3.05	0.08
800	12.00	bio-xtal	-13.62	-2.97	-6.97	-2.55	3.05	0.08
800	85.00	same	-13.62	-2.97	-6.97	-2.55	3.05	0.08
800	15.00	different	-13.62	-2.97	-6.97	-2.55	3.05	0.08
1000	29.50	xtal-xtal	-12.03	-3.23	-7.45	-2.21	3.27	-0.07
1000	52.00	bio-bio	-12.03	-3.23	-7.45	-2.21	3.27	-0.07
1000	4.00	xtal-bio	-12.03	-3.23	-7.45	-2.21	3.27	-0.07
1000	14.50	bio-xtal	-12.03	-3.23	-7.45	-2.21	3.27	-0.07
1000	81.50	same	-12.03	-3.23	-7.45	-2.21	3.27	-0.07
1000	18.50	different	-12.03	-3.23	-7.45	-2.21	3.27	-0.07
1200	32.50	xtal-xtal	-11.02	1.63	-6.65	-2.41	2.15	-0.06
1200	51.50	bio-bio	-11.02	1.63	-6.65	-2.41	2.15	-0.06
1200	7.00	xtal-bio	-11.02	1.63	-6.65	-2.41	2.15	-0.06
1200	9.00	bio-xtal	-11.02	1.63	-6.65	-2.41	2.15	-0.06
1200	84.00	same	-11.02	1.63	-6.65	-2.41	2.15	-0.06
1200	16.00	different	-11.02	1.63	-6.65	-2.41	2.15	-0.06
1400	37.00	xtal-xtal	-18.59	-2.40	-6.88	-2.43	2.74	0.24
1400	53.00	bio-bio	-18.59	-2.40	-6.88	-2.43	2.74	0.24
1400	4.50	xtal-bio	-18.59	-2.40	-6.88	-2.43	2.74	0.24
1400	5.50	bio-xtal	-18.59	-2.40	-6.88	-2.43	2.74	0.24
1400	90.00	same	-18.59	-2.40	-6.88	-2.43	2.74	0.24
1400	10.00	different	-18.59	-2.40	-6.88	-2.43	2.74	0.24
1600	36.00	xtal-xtal	-8.97	0.06	-5.40	-1.92	2.64	0.12
1600	52.00	bio-bio	-8.97	0.06	-5.40	-1.92	2.64	0.12
1600	4.00	xtal-bio	-8.97	0.06	-5.40	-1.92	2.64	0.12
1600	8.00	bio-xtal	-8.97	0.06	-5.40	-1.92	2.64	0.12
1600	88.00	same	-8.97	0.06	-5.40	-1.92	2.64	0.12
1600	12.00	different	-8.97	0.06	-5.40	-1.92	2.64	0.12
1800	29.00	xtal-xtal	-9.58	-2.52	-5.25	-2.00	2.62	-0.17
1800	49.50	bio-bio	-9.58	-2.52	-5.25	-2.00	2.62	-0.17
1800	2.00	xtal-bio	-9.58	-2.52	-5.25	-2.00	2.62	-0.17
