datapoints	percentage	call	xmin	xmax	xmean	bmin	bmax	bmean
200	37.00	xtal-xtal	-2.37	3.18	0.00	-11.78	2.33	-6.62
200	43.00	bio-bio	-2.37	3.18	0.00	-11.78	2.33	-6.62
200	2.50	xtal-bio	-2.37	3.18	0.00	-11.78	2.33	-6.62
200	17.50	bio-xtal	-2.37	3.18	0.00	-11.78	2.33	-6.62
200	80.00	same	-2.37	3.18	0.00	-11.78	2.33	-6.62
200	20.00	different	-2.37	3.18	0.00	-11.78	2.33	-6.62
400	33.00	xtal-xtal	-2.26	2.92	-0.21	-18.35	-3.20	-10.23
400	54.50	bio-bio	-2.26	2.92	-0.21	-18.35	-3.20	-10.23
400	1.00	xtal-bio	-2.26	2.92	-0.21	-18.35	-3.20	-10.23
400	11.50	bio-xtal	-2.26	2.92	-0.21	-18.35	-3.20	-10.23
400	87.50	same	-2.26	2.92	-0.21	-18.35	-3.20	-10.23
400	12.50	different	-2.26	2.92	-0.21	-18.35	-3.20	-10.23
600	30.00	xtal-xtal	-2.48	2.36	-0.06	-17.83	-2.62	-7.64
600	49.50	bio-bio	-2.48	2.36	-0.06	-17.83	-2.62	-7.64
600	5.50	xtal-bio	-2.48	2.36	-0.06	-17.83	-2.62	-7.64
600	15.00	bio-xtal	-2.48	2.36	-0.06	-17.83	-2.62	-7.64
600	79.50	same	-2.48	2.36	-0.06	-17.83	-2.62	-7.64
600	20.50	different	-2.48	2.36	-0.06	-17.83	-2.62	-7.64
800	36.50	xtal-xtal	-2.55	3.05	0.08	-13.62	-2.97	-6.97
800	48.50	bio-bio	-2.55	3.05	0.08	-13.62	-2.97	-6.97
800	3.00	xtal-bio	-2.55	3.05	0.08	-13.62	-2.97	-6.97
800	12.00	bio-xtal	-2.55	3.05	0.08	-13.62	-2.97	-6.97
800	85.00	same	-2.55	3.05	0.08	-13.62	-2.97	-6.97
800	15.00	different	-2.55	3.05	0.08	-13.62	-2.97	-6.97
1000	29.50	xtal-xtal	-2.21	3.27	-0.07	-12.03	-3.23	-7.45
1000	52.00	bio-bio	-2.21	3.27	-0.07	-12.03	-3.23	-7.45
1000	4.00	xtal-bio	-2.21	3.27	-0.07	-12.03	-3.23	-7.45
1000	14.50	bio-xtal	-2.21	3.27	-0.07	-12.03	-3.23	-7.45
1000	81.50	same	-2.21	3.27	-0.07	-12.03	-3.23	-7.45
1000	18.50	different	-2.21	3.27	-0.07	-12.03	-3.23	-7.45
1200	32.50	xtal-xtal	-2.41	2.15	-0.06	-11.02	1.63	-6.65
1200	51.50	bio-bio	-2.41	2.15	-0.06	-11.02	1.63	-6.65
1200	7.00	xtal-bio	-2.41	2.15	-0.06	-11.02	1.63	-6.65
1200	9.00	bio-xtal	-2.41	2.15	-0.06	-11.02	1.63	-6.65
1200	84.00	same	-2.41	2.15	-0.06	-11.02	1.63	-6.65
1200	16.00	different	-2.41	2.15	-0.06	-11.02	1.63	-6.65
1400	37.00	xtal-xtal	-2.43	2.74	0.24	-18.59	-2.40	-6.88
1400	53.00	bio-bio	-2.43	2.74	0.24	-18.59	-2.40	-6.88
1400	4.50	xtal-bio	-2.43	2.74	0.24	-18.59	-2.40	-6.88
1400	5.50	bio-xtal	-2.43	2.74	0.24	-18.59	-2.40	-6.88
1400	90.00	same	-2.43	2.74	0.24	-18.59	-2.40	-6.88
1400	10.00	different	-2.43	2.74	0.24	-18.59	-2.40	-6.88
1600	36.00	xtal-xtal	-1.92	2.64	0.12	-8.97	0.06	-5.40
1600	52.00	bio-bio	-1.92	2.64	0.12	-8.97	0.06	-5.40
1600	4.00	xtal-bio	-1.92	2.64	0.12	-8.97	0.06	-5.40
1600	8.00	bio-xtal	-1.92	2.64	0.12	-8.97	0.06	-5.40
1600	88.00	same	-1.92	2.64	0.12	-8.97	0.06	-5.40
1600	12.00	different	-1.92	2.64	0.12	-8.97	0.06	-5.40
1800	29.00	xtal-xtal	-2.00	2.62	-0.17	-9.58	-2.52	-5.25
1800	49.50	bio-bio	-2.00	2.62	-0.17	-9.58	-2.52	-5.25
1800	2.00	xtal-bio	-2.00	2.62	-0.17	-9.58	-2.52	-5.25
1800	19.50	bio-xtal	-2.00	2.62	-0.17	-9.58	-2.52	-5.25
1800	78.50	same	-2.00	2.62	-0.17	-9.58	-2.52	-5.25
1800	21.50	different	-2.00	2.62	-0.17	-9.58	-2.52	-5.25
2000	33.50	xtal-xtal	-1.92	2.28	0.05	-10.01	1.12	-4.70
2000	49.50	bio-bio	-1.92	2.28	0.05	-10.01	1.12	-4.70
2000	9.00	xtal-bio	-1.92	2.28	0.05	-10.01	1.12	-4.70
2000	8.00	bio-xtal	-1.92	2.28	0.05	-10.01	1.12	-4.70
2000	83.00	same	-1.92	2.28	0.05	-10.01	1.12	-4.70
2000	17.00	different	-1.92	2.28	0.05	-10.01	1.12	-4.70
2200	32.00	xtal-xtal	-2.20	3.07	-0.01	-11.58	1.20	-5.22
2200	47.00	bio-bio	-2.20	3.07	-0.01	-11.58	1.20	-5.22
2200	10.50	xtal-bio	-2.20	3.07	-0.01	-11.58	1.20	-5.22
2200	10.50	bio-xtal	-2.20	3.07	-0.01	-11.58	1.20	-5.22
2200	79.00	same	-2.20	3.07	-0.01	-11.58	1.20	-5.22
2200	21.00	different	-2.20	3.07	-0.01	-11.58	1.20	-5.22
2400	39.00	xtal-xtal	-2.04	3.74	0.33	-18.66	1.65	-6.07
2400	53.00	bio-bio	-2.04	3.74	0.33	-18.66	1.65	-6.07
2400	2.50	xtal-bio	-2.04	3.74	0.33	-18.66	1.65	-6.07
2400	5.50	bio-xtal	-2.04	3.74	0.33	-18.66	1.65	-6.07
2400	92.00	same	-2.04	3.74	0.33	-18.66	1.65	-6.07
2400	8.00	different	-2.04	3.74	0.33	-18.66	1.65	-6.07
2600	37.50	xtal-xtal	-2.32	2.57	0.04	-10.75	-0.80	-6.03
2600	53.50	bio-bio	-2.32	2.57	0.04	-10.75	-0.80	-6.03
2600	1.50	xtal-bio	-2.32	2.57	0.04	-10.75	-0.80	-6.03
2600	7.50	bio-xtal	-2.32	2.57	0.04	-10.75	-0.80	-6.03
2600	91.00	same	-2.32	2.57	0.04	-10.75	-0.80	-6.03
2600	9.00	different	-2.32	2.57	0.04	-10.75	-0.80	-6.03
2800	35.50	xtal-xtal	-2.07	2.98	0.16	-10.93	-0.66	-5.74
2800	53.00	bio-bio	-2.07	2.98	0.16	-10.93	-0.66	-5.74
2800	3.00	xtal-bio	-2.07	2.98	0.16	-10.93	-0.66	-5.74
2800	8.50	bio-xtal	-2.07	2.98	0.16	-10.93	-0.66	-5.74
2800	88.50	same	-2.07	2.98	0.16	-10.93	-0.66	-5.74
2800	11.50	different	-2.07	2.98	0.16	-10.93	-0.66	-5.74
3000	34.50	xtal-xtal	-2.53	2.41	0.23	-10.11	0.59	-5.32
3000	49.00	bio-bio	-2.53	2.41	0.23	-10.11	0.59	-5.32
3000	7.50	xtal-bio	-2.53	2.41	0.23	-10.11	0.59	-5.32
3000	9.00	bio-xtal	-2.53	2.41	0.23	-10.11	0.59	-5.32
3000	83.50	same	-2.53	2.41	0.23	-10.11	0.59	-5.32
3000	16.50	different	-2.53	2.41	0.23	-10.11	0.59	-5.32
3200	34.00	xtal-xtal	-2.17	2.94	0.06	-10.22	-1.72	-5.64
3200	53.00	bio-bio	-2.17	2.94	0.06	-10.22	-1.72	-5.64
3200	3.50	xtal-bio	-2.17	2.94	0.06	-10.22	-1.72	-5.64
3200	9.50	bio-xtal	-2.17	2.94	0.06	-10.22	-1.72	-5.64
3200	87.00	same	-2.17	2.94	0.06	-10.22	-1.72	-5.64
3200	13.00	different	-2.17	2.94	0.06	-10.22	-1.72	-5.64
3400	38.50	xtal-xtal	-1.87	3.10	0.25	-13.03	0.54	-5.67
3400	53.00	bio-bio	-1.87	3.10	0.25	-13.03	0.54	-5.67
3400	2.00	xtal-bio	-1.87	3.10	0.25	-13.03	0.54	-5.67
3400	6.50	bio-xtal	-1.87	3.10	0.25	-13.03	0.54	-5.67
3400	91.50	same	-1.87	3.10	0.25	-13.03	0.54	-5.67
3400	8.50	different	-1.87	3.10	0.25	-13.03	0.54	-5.67
3600	32.00	xtal-xtal	-2.38	2.48	-0.05	-9.66	0.45	-6.29
3600	55.00	bio-bio	-2.38	2.48	-0.05	-9.66	0.45	-6.29
3600	5.50	xtal-bio	-2.38	2.48	-0.05	-9.66	0.45	-6.29
3600	7.50	bio-xtal	-2.38	2.48	-0.05	-9.66	0.45	-6.29
3600	87.00	same	-2.38	2.48	-0.05	-9.66	0.45	-6.29
3600	13.00	different	-2.38	2.48	-0.05	-9.66	0.45	-6.29
3800	34.50	xtal-xtal	-1.94	3.06	0.08	-11.60	0.45	-6.99
3800	55.50	bio-bio	-1.94	3.06	0.08	-11.60	0.45	-6.99
3800	3.50	xtal-bio	-1.94	3.06	0.08	-11.60	0.45	-6.99
3800	6.50	bio-xtal	-1.94	3.06	0.08	-11.60	0.45	-6.99
3800	90.00	same	-1.94	3.06	0.08	-11.60	0.45	-6.99
3800	10.00	different	-1.94	3.06	0.08	-11.60	0.45	-6.99
4000	32.50	xtal-xtal	-2.05	3.42	0.07	-9.55	0.89	-5.45
4000	56.50	bio-bio	-2.05	3.42	0.07	-9.55	0.89	-5.45
4000	3.00	xtal-bio	-2.05	3.42	0.07	-9.55	0.89	-5.45
4000	8.00	bio-xtal	-2.05	3.42	0.07	-9.55	0.89	-5.45
4000	89.00	same	-2.05	3.42	0.07	-9.55	0.89	-5.45
4000	11.00	different	-2.05	3.42	0.07	-9.55	0.89	-5.45
4200	36.50	xtal-xtal	-2.52	3.00	0.26	-10.71	1.02	-5.15
4200	51.00	bio-bio	-2.52	3.00	0.26	-10.71	1.02	-5.15
4200	3.00	xtal-bio	-2.52	3.00	0.26	-10.71	1.02	-5.15
4200	9.50	bio-xtal	-2.52	3.00	0.26	-10.71	1.02	-5.15
4200	87.50	same	-2.52	3.00	0.26	-10.71	1.02	-5.15
4200	12.50	different	-2.52	3.00	0.26	-10.71	1.02	-5.15
4400	38.50	xtal-xtal	-2.58	2.60	0.31	-7.22	-2.27	-5.09
4400	50.50	bio-bio	-2.58	2.60	0.31	-7.22	-2.27	-5.09
4400	2.00	xtal-bio	-2.58	2.60	0.31	-7.22	-2.27	-5.09
4400	9.00	bio-xtal	-2.58	2.60	0.31	-7.22	-2.27	-5.09
4400	89.00	same	-2.58	2.60	0.31	-7.22	-2.27	-5.09
4400	11.00	different	-2.58	2.60	0.31	-7.22	-2.27	-5.09
4600	34.50	xtal-xtal	-2.20	5.34	0.27	-8.90	1.07	-4.63
4600	52.00	bio-bio	-2.20	5.34	0.27	-8.90	1.07	-4.63
4600	3.50	xtal-bio	-2.20	5.34	0.27	-8.90	1.07	-4.63
4600	10.00	bio-xtal	-2.20	5.34	0.27	-8.90	1.07	-4.63
4600	86.50	same	-2.20	5.34	0.27	-8.90	1.07	-4.63
4600	13.50	different	-2.20	5.34	0.27	-8.90	1.07	-4.63
4800	31.50	xtal-xtal	-2.48	2.57	-0.06	-15.25	0.61	-4.95
4800	52.00	bio-bio	-2.48	2.57	-0.06	-15.25	0.61	-4.95
